epoch,accuracy,loss,lr,mae,mse,val_accuracy,val_loss,val_mae,val_mse
0,0.9214390516281128,0.07547718286514282,0.00061657367,0.06445684283971786,0.07547718286514282,0.9301906824111938,0.06946443021297455,0.05503568425774574,0.06946443021297455
1,0.9300647377967834,0.06726772338151932,0.00061657367,0.05407949537038803,0.06726772338151932,0.9290666580200195,0.06832010298967361,0.053097914904356,0.06832010298967361
2,0.9319822788238525,0.06522929668426514,0.00061657367,0.05178505927324295,0.06522929668426514,0.9320987462997437,0.06708968430757523,0.05157173424959183,0.06708968430757523
3,0.9330630898475647,0.06409121304750443,0.00061657367,0.050727181136608124,0.06409122049808502,0.9316710233688354,0.06662553548812866,0.05106865614652634,0.06662553548812866
4,0.9336933493614197,0.06335614621639252,0.00061657367,0.050294939428567886,0.06335614621639252,0.9316428899765015,0.06672651320695877,0.05096130445599556,0.06672651320695877
5,0.9341385364532471,0.06279924511909485,0.00061657367,0.05002947151660919,0.06279924511909485,0.9323713183403015,0.06636721640825272,0.05071838200092316,0.06636720895767212
6,0.9344901442527771,0.06239546835422516,0.00061657367,0.04985785111784935,0.06239546835422516,0.9330694079399109,0.06508658826351166,0.05050291121006012,0.06508658826351166
7,0.9388759732246399,0.05837828293442726,0.00012331473,0.04560530558228493,0.05837828293442726,0.9364101886749268,0.06044875457882881,0.046046026051044464,0.06044875457882881
8,0.9393126368522644,0.057640887796878815,0.00012331473,0.04538150504231453,0.057640887796878815,0.9365703463554382,0.060062482953071594,0.045823872089385986,0.060062482953071594
9,0.9394539594650269,0.057252056896686554,0.00012331473,0.045277029275894165,0.057252056896686554,0.9368689060211182,0.059786271303892136,0.045701708644628525,0.059786271303892136
10,0.9395827054977417,0.05695076659321785,0.00012331473,0.045210808515548706,0.05695076659321785,0.9370754361152649,0.05962174013257027,0.04565253108739853,0.05962174013257027
11,0.9396694302558899,0.05670760199427605,0.00012331473,0.04516251012682915,0.05670760199427605,0.937040388584137,0.05953856557607651,0.04561777785420418,0.05953856557607651
12,0.9397265315055847,0.056495752185583115,0.00012331473,0.04512944445014,0.056495752185583115,0.9372357130050659,0.059465441852808,0.04557317867875099,0.059465441852808
13,0.9397879242897034,0.05631604045629501,0.00012331473,0.04510364681482315,0.05631604045629501,0.9371174573898315,0.059441596269607544,0.04555583745241165,0.05944158881902695
14,0.940730631351471,0.05505829676985741,2.4662948e-05,0.04394010454416275,0.05505829676985741,0.9383630752563477,0.05862806737422943,0.04434193670749664,0.05862806737422943
15,0.9408528804779053,0.054812029004096985,2.4662948e-05,0.04387085139751434,0.054812029004096985,0.9384554028511047,0.058441516011953354,0.04430890828371048,0.058441516011953354
16,0.9409064650535583,0.054682474583387375,2.4662948e-05,0.04384443536400795,0.054682474583387375,0.938494861125946,0.058367662131786346,0.044287875294685364,0.058367662131786346
17,0.9409534931182861,0.054571542888879776,2.4662948e-05,0.04382319375872612,0.054571542888879776,0.9385761022567749,0.058258067816495895,0.04427803307771683,0.058258067816495895
18,0.9409890174865723,0.054469313472509384,2.4662948e-05,0.04380403459072113,0.054469313472509384,0.938578724861145,0.05822311341762543,0.04425492137670517,0.05822311341762543
19,0.9410163760185242,0.05438373610377312,2.4662948e-05,0.0437869057059288,0.05438373610377312,0.9386306405067444,0.05817560851573944,0.044247567653656006,0.05817560851573944
20,0.941055953502655,0.05429207161068916,2.4662948e-05,0.043770674616098404,0.05429207161068916,0.9386230111122131,0.0581170991063118,0.044203635305166245,0.0581170991063118
21,0.9409714937210083,0.05403609201312065,4.9325895e-06,0.04357695206999779,0.05403609201312065,0.939031183719635,0.05772647261619568,0.043978702276945114,0.05772647261619568
