epoch,accuracy,loss,lr,mae,mse,val_accuracy,val_loss,val_mae,val_mse
0,0.9170510768890381,0.07921942323446274,0.0004818752,0.06973814219236374,0.07921942323446274,0.9237911701202393,0.07250011712312698,0.06551508605480194,0.07250011712312698
1,0.9286555647850037,0.06838265061378479,0.0004818752,0.05913695693016052,0.06838265061378479,0.9270681142807007,0.06806116551160812,0.05769076570868492,0.06806116551160812
2,0.9312088489532471,0.0658198744058609,0.0004818752,0.0542837455868721,0.0658198744058609,0.9265238046646118,0.06683877855539322,0.0544479638338089,0.06683877855539322
3,0.9325289726257324,0.06440770626068115,0.0004818752,0.05252192169427872,0.06440770626068115,0.9296258687973022,0.06635034084320068,0.05356542021036148,0.06635034084320068
4,0.9333499073982239,0.06345099955797195,0.0004818752,0.05159061402082443,0.06345099955797195,0.9291154146194458,0.06547041982412338,0.052580323070287704,0.06547041982412338
5,0.9337759017944336,0.06278397887945175,0.0004818752,0.0510096400976181,0.06278397887945175,0.9269378781318665,0.06486819684505463,0.05197567120194435,0.06486819684505463
6,0.934015154838562,0.06235472485423088,0.0004818752,0.05056563764810562,0.06235472485423088,0.9285404086112976,0.06442493945360184,0.051449187099933624,0.06442493945360184
7,0.9395456910133362,0.05781435966491699,9.637504e-05,0.046464547514915466,0.05781435966491699,0.9361099600791931,0.06142580136656761,0.04767855256795883,0.06142580136656761
8,0.9401348233222961,0.05695688724517822,9.637504e-05,0.04612992703914642,0.05695688724517822,0.9365674257278442,0.06116815656423569,0.04740983992815018,0.06116815656423569
9,0.940401554107666,0.0564783476293087,9.637504e-05,0.0459623746573925,0.0564783476293087,0.9369176626205444,0.060995325446128845,0.047213297337293625,0.060995325446128845
10,0.9405512809753418,0.056101977825164795,9.637504e-05,0.04585409536957741,0.056101977825164795,0.9371706247329712,0.060963425785303116,0.047069109976291656,0.060963425785303116
11,0.9406433701515198,0.05576984956860542,9.637504e-05,0.04577791690826416,0.05576984956860542,0.9373373985290527,0.060982752591371536,0.046979259699583054,0.060982752591371536
12,0.9406962394714355,0.05546365678310394,9.637504e-05,0.04572438448667526,0.05546365678310394,0.9373587965965271,0.06106490269303322,0.046920277178287506,0.06106490269303322
13,0.9407415986061096,0.055165886878967285,9.637504e-05,0.045683734118938446,0.055165886878967285,0.9374474287033081,0.061029598116874695,0.046865954995155334,0.061029598116874695
14,0.9419949054718018,0.05380791798233986,1.9275009e-05,0.044623203575611115,0.05380791798233986,0.9378836154937744,0.05891857296228409,0.04561353102326393,0.05891857296228409
15,0.9421262145042419,0.05349953845143318,1.9275009e-05,0.04453502967953682,0.05349953845143318,0.9378743767738342,0.058853015303611755,0.04559171944856644,0.058853015303611755
16,0.9421957731246948,0.053316690027713776,1.9275009e-05,0.04449433833360672,0.053316690027713776,0.9378612041473389,0.05883737653493881,0.04558475315570831,0.05883737653493881
17,0.9422444105148315,0.05316031351685524,1.9275009e-05,0.04446173831820488,0.05316031351685524,0.9378380179405212,0.05884375795722008,0.04558616131544113,0.05884375795722008
18,0.9422813653945923,0.053017206490039825,1.9275009e-05,0.04443299397826195,0.053017210215330124,0.937816858291626,0.05886262655258179,0.04559020698070526,0.05886262655258179
19,0.9423167705535889,0.052882034331560135,1.9275009e-05,0.04440667852759361,0.052882034331560135,0.9378036260604858,0.058887191116809845,0.04559588432312012,0.058887191116809845
20,0.9423485398292542,0.05275223031640053,1.9275009e-05,0.04438183456659317,0.05275223031640053,0.9377899765968323,0.058914002031087875,0.04560437425971031,0.058914002031087875
21,0.9424272179603577,0.05246767774224281,3.8550015e-06,0.04420662298798561,0.05246767774224281,0.9390837550163269,0.05832606181502342,0.04519704356789589,0.05832606181502342
22,0.9424651265144348,0.05238043889403343,3.8550015e-06,0.04416687786579132,0.05238043889403343,0.9391104578971863,0.05830617994070053,0.045184459537267685,0.05830617994070053
23,0.9424793720245361,0.052336640655994415,3.8550015e-06,0.04415694996714592,0.052336640655994415,0.9391257166862488,0.05829600244760513,0.04517541080713272,0.05829600617289543
24,0.9424929022789001,0.05229879170656204,3.8550015e-06,0.04414935037493706,0.05229879170656204,0.9391404390335083,0.05828851833939552,0.045167312026023865,0.05828851833939552
25,0.9425073266029358,0.05226339399814606,3.8550015e-06,0.04414230212569237,0.05226339399814606,0.9391501545906067,0.05828297510743141,0.045159872621297836,0.05828297510743141
26,0.9425163865089417,0.052229493856430054,3.8550015e-06,0.04413539171218872,0.052229493856430054,0.939162015914917,0.05827822536230087,0.04515264928340912,0.05827822536230087
27,0.9425274133682251,0.05219651386141777,3.8550015e-06,0.04412856325507164,0.05219651386141777,0.939170241355896,0.05827442184090614,0.045145682990550995,0.05827442184090614
28,0.9422561526298523,0.05220421403646469,7.710003e-07,0.04415609687566757,0.05220421403646469,0.9392094016075134,0.05809807404875755,0.0450429767370224,0.05809807404875755
29,0.9422903656959534,0.05217019468545914,7.710003e-07,0.04413290321826935,0.05217019468545914,0.9392415881156921,0.05808335542678833,0.04503438621759415,0.05808335542678833
30,0.9423051476478577,0.05215829238295555,7.710003e-07,0.044127583503723145,0.05215829238295555,0.9392635226249695,0.05807626619935036,0.045028552412986755,0.05807626619935036
31,0.9423132538795471,0.05214913561940193,7.710003e-07,0.044124312698841095,0.05214913561940193,0.9392740726470947,0.05807162821292877,0.04502415657043457,0.05807162821292877
32,0.942323625087738,0.05214065685868263,7.710003e-07,0.044121742248535156,0.05214065685868263,0.9392830729484558,0.05806770548224449,0.04502085968852043,0.05806770548224449
