epoch,accuracy,kl_loss,loss,lr,mae,mse,val_accuracy,val_kl_loss,val_loss,val_mae,val_mse
0,0.9093437194824219,19.136343002319336,0.08857932686805725,0.00065199006,0.06618675589561462,0.08643578737974167,0.9190554618835449,18.63595962524414,0.08060921728610992,0.0636589378118515,0.0785217136144638
1,0.9202534556388855,17.97029685974121,0.07694835960865021,0.00065199006,0.05902314931154251,0.07493550330400467,0.919601321220398,18.109243392944336,0.07611864805221558,0.05744102597236633,0.07409026473760605
2,0.9223253130912781,17.503042221069336,0.07392141222953796,0.00065199006,0.055872075259685516,0.07196076214313507,0.9187597632408142,43.936973571777344,2.0472981929779053,0.05637091025710106,2.042369842529297
3,0.9237573742866516,17.231552124023438,0.07231564819812775,0.00065199006,0.0546812042593956,0.07038535177707672,0.9226737022399902,543.9832153320312,11.039196014404297,0.05567875877022743,10.97823429107666
4,0.9245554208755493,17.063053131103516,0.07134696841239929,0.00065199006,0.05400627478957176,0.06943570077419281,0.9248207807540894,17.193572998046875,0.07299313694238663,0.05474945902824402,0.07106715440750122
5,0.925384521484375,16.922748565673828,0.0704859122633934,0.00065199006,0.05342642217874527,0.06859025359153748,0.9234834909439087,16.91534423828125,0.0719628632068634,0.053953781723976135,0.07006826996803284
6,0.9259033799171448,16.83121109008789,0.06984014809131622,0.00065199006,0.05300605669617653,0.06795486062765121,0.9246454238891602,16.67709732055664,0.07101790606975555,0.05350090563297272,0.06914988905191422
7,0.9303632378578186,16.98441505432129,0.06640155613422394,0.00013039801,0.04984492063522339,0.06449899077415466,0.9276840090751648,17.041431427001953,0.06882835179567337,0.050418756902217865,0.06691939383745193
8,0.9307296872138977,17.033172607421875,0.06588480621576309,0.00013039801,0.04966112971305847,0.06397679448127747,0.9279704093933105,17.110929489135742,0.06856556236743927,0.05026666820049286,0.06664890050888062
9,0.9309782385826111,17.059083938598633,0.06556610763072968,0.00013039801,0.04951098561286926,0.06365524977445602,0.9280806183815002,17.18214988708496,0.06829709559679031,0.050136081874370575,0.06637237221002579
10,0.9311560988426208,17.08146858215332,0.06530631333589554,0.00013039801,0.04938693344593048,0.06339283287525177,0.9282714128494263,17.16913604736328,0.06806670874357224,0.05009588226675987,0.06614348292350769
11,0.9312989115715027,17.0996150970459,0.06509284675121307,0.00013039801,0.049283649772405624,0.06317730247974396,0.9286901950836182,17.208694458007812,0.06790464371442795,0.04990190267562866,0.06597689539194107
12,0.9314428567886353,17.108163833618164,0.06488274037837982,0.00013039801,0.04918377101421356,0.06296631693840027,0.9289225935935974,17.129451751708984,0.06773807108402252,0.04980917647480965,0.06581945717334747
13,0.9259747862815857,19.306364059448242,0.0771079882979393,0.00013039801,0.051793139427900314,0.07494524121284485,0.92262202501297,19.54970932006836,0.07251047343015671,0.05205114185810089,0.07032056152820587
14,0.9259546995162964,19.348323822021484,0.06940991431474686,2.6079602e-05,0.05083514750003815,0.06724242120981216,0.9245047569274902,18.99732208251953,0.07049717754125595,0.05106091499328613,0.06836912781000137
15,0.9272674918174744,18.586071014404297,0.06779345870018005,2.6079602e-05,0.05013483017683029,0.06571141630411148,0.9261402487754822,18.218801498413086,0.0685272067785263,0.05038594454526901,0.06648646295070648
16,0.9294032454490662,17.81117820739746,0.06579809635877609,2.6079602e-05,0.0493454672396183,0.06380295008420944,0.9286811351776123,17.54180145263672,0.06671571731567383,0.049529410898685455,0.06475085765123367
17,0.9313439726829529,17.377235412597656,0.06436800211668015,2.6079602e-05,0.048700034618377686,0.06242144852876663,0.9297283291816711,17.33148765563965,0.06601975858211517,0.049165934324264526,0.06407836079597473
18,0.9320018887519836,17.2974796295166,0.06392332166433334,2.6079602e-05,0.04846767336130142,0.061985794454813004,0.9299971461296082,17.291301727294922,0.06575871258974075,0.04902034252882004,0.0638217106461525
19,0.9322190880775452,17.288639068603516,0.06372104585170746,2.6079602e-05,0.04837196692824364,0.06178440526127815,0.9301290512084961,17.288921356201172,0.06560826301574707,0.04894591122865677,0.06367162615060806
20,0.9323247075080872,17.29821014404297,0.06358505040407181,2.6079602e-05,0.04831179231405258,0.06164738908410072,0.9301819205284119,17.305706024169922,0.06549517810344696,0.04889947548508644,0.06355664134025574
21,0.932381808757782,17.307403564453125,0.06332707405090332,5.2159203e-06,0.048200298100709915,0.06138850376009941,0.9303509593009949,17.334230422973633,0.06535686552524567,0.0487130843102932,0.06341513246297836
22,0.9323894381523132,17.319103240966797,0.0632769912481308,5.2159203e-06,0.04816450551152229,0.06133696809411049,0.930358350276947,17.332420349121094,0.06532441079616547,0.04869804531335831,0.06338268518447876
23,0.9323977828025818,17.318151473999023,0.063245989382267,5.2159203e-06,0.04815392941236496,0.061305999755859375,0.9303451776504517,17.348220825195312,0.0653005912899971,0.048689112067222595,0.06335725635290146
24,0.9324045181274414,17.320335388183594,0.06321881711483002,5.2159203e-06,0.04814506694674492,0.06127854064106941,0.9303577542304993,17.342628479003906,0.06527560949325562,0.04868026077747345,0.06333290040493011
25,0.9324331879615784,17.328872680664062,0.06319393217563629,5.2159203e-06,0.048135776072740555,0.061252839863300323,0.9303934574127197,17.34834098815918,0.06525140255689621,0.048667386174201965,0.06330832093954086
26,0.9324373602867126,17.329185485839844,0.0631696805357933,5.2159203e-06,0.04812777414917946,0.061228636652231216,0.9304315447807312,17.361738204956055,0.06522898375988007,0.04865903779864311,0.06328408420085907
27,0.9324480891227722,17.338645935058594,0.06314803659915924,5.2159203e-06,0.04811990633606911,0.061205800622701645,0.9304174780845642,17.36238670349121,0.06520694494247437,0.04865211620926857,0.06326211243867874
